text;created;language;id
Pode ir na fé não passa nada<U+0001F535><U+26AA><U+FE0F><U+0001F98A> cruzeiro;15/03/2019 01:52;pt;174
"Oôo saudades da minha casa <U+0001F615><U+0001F98A><U+0001F499>Mineirão Casa Cruzeiro 
logo logo to de volta me aguarde gigante da pampulha";15/03/2019 00:56;pt;175
"Quando se rega um sonho com féDeus abençoa na colheita <U+26BD><U+0001F64C><U+0001F3FB><U+0001F945><U+0001F64F><U+0001F3FB>
focoforcaefe cruzeirofeminino cruzeiro…";15/03/2019 00:38;pt;176
"ATENÇÃO NAÇÃO AZUL 
De acordo com regras determinadas pelao Cruzeiro e seus torcedores não po…";15/03/2019 00:28;pt;177
"Já baixou o aplicativo da conta do Cruzeiro no seu celular Espia só o que espera por você

<U+0001F4B3> Solicite cartão de créd…";15/03/2019 00:01;pt;178
Pessoal sem clubismo Nesse ano o Arrascaeta entregou dois gols para adversários e o Ro…;14/03/2019 23:53;pt;179
Cruzeiro hoje Marlon Róbson Rômulo Luiz Gustavo Jonathan Monteiro Alysson Edu Gianluca e Matheus Perei…;14/03/2019 23:49;pt;180
Boa noite galera do expediente O time que pra mim mostrou estar mais encaixado é o cruzeiro e tem um dos melhore…;14/03/2019 23:08;pt;181
"TBT foto de um ano atrás
Mas sempre com o manto celeste <U+0001F43A><U+0001F499>
RaposaSegueRaposaSDV 
Cruzeiro 
NasBatalhasComOCruzeiro ht…";14/03/2019 23:05;pt;182
MSC Cruzeiros assina encomenda de quatro navios de luxoLeia;14/03/2019 22:59;pt;183
HojeEmDia Cruzeiro informa como pedir reembolso de valor do ingresso do jogo contra o Deportivo Lara gt;14/03/2019 22:41;pt;184
"Amanhã é dia de fazer aquele som nono aniversário do meu irmão

Vem curtir c…";14/03/2019 22:39;pt;185
Nada melhor que aquele tbt de início de viagens Daquele tempo que o kuspett investia em gado viagem cruzeiro…;14/03/2019 22:31;pt;186
Já que não tem jogo vamos de TBThursday desse lugar foda A camisa não era a da sorte mas tem tudo a ver com o lu…;14/03/2019 22:28;pt;187
<U+26BD><U+FE0F> Cruzeiro Conmebol deve se posicionar na noite de hoje sobre o que vai fazer Jogo amanhã dificilmente deve acontece…;14/03/2019 22:23;pt;188
"TBT foto de um ano atrás
Mas sempre com o manto celeste <U+0001F43A><U+0001F499>
RaposaSegueRaposaSDV 
Cruzeiro…";14/03/2019 22:15;pt;189
"Fábio defendepênaltis
Mídia Nacional Grande Goleiro

Diego Alves defendepênalti
Mídia Nacional Mito Melho…";14/03/2019 22:09;pt;190
"Cruzeiro
Atletico
O sistema do meu celular atualizou e veio assim agora
<U+0001F602><U+0001F602><U+0001F602>";14/03/2019 22:07;pt;191
"ATENÇÃO NAÇÃO AZUL

INFORMAÇÃO IMPORTANTE SOBRE OS INGRESSOS DO JOGO CRUZEIRO X DEPORTIVO LARA PELA LIBERTADORE…";14/03/2019 21:50;pt;192
